Translate,en,kr,vi
PRICE_QUOTATION.LAST_UPDATED_TIME,Last updated time,Last updated time,Last updated time
PRICE_QUOTATION.LAST_UPDATED_BY,Last updated by,Last updated by,Last updated by
PRICE_QUOTATION.STATUS,Status,Status,Status
PRICE_QUOTATION.DRAFT,Draft,Draft,Draft
PRICE_QUOTATION.PUBLISHED,Published,Published,Published
PRICE_QUOTATION.ADD_NEW,Add new,Add new,Add new
PRICE_QUOTATION.ALL_CUSTOMER,All customer,All customer,All customer
PRICE_QUOTATION.ADD_NEW_POPUP_TITLE,Add new quotation,Add new quotation,Add new quotation
PRICE_QUOTATION.EDIT_POPUP_TITLE,Edit quotation,Edit quotation,Edit quotation
PRICE_QUOTATION.OK,OK,OK,OK
PRICE_QUOTATION.CANCEL,Cancel,Cancel,Cancel
PRICE_QUOTATION.CURRENCY,Currency,Currency,Currency
PRICE_QUOTATION.NOTE_TITLE,Additional charges/notes,Additional charges/notes,Additional charges/notes
PRICE_QUOTATION.NOTE_PLACEHOLDER,"1. VAT
2. Overnight charges
3. Labour cost","1. VAT
2. Overnight charges
3. Labour cost","1. VAT
2. Overnight charges
3. Labour cost"
PRICE_QUOTATION.SAVE,Save,Save,Save
PRICE_QUOTATION.FROM,From,From,From
PRICE_QUOTATION.TO,To,To,To
PRICE_QUOTATION.DEL_ROW,Delete row,Delete row,Delete row
PRICE_QUOTATION.ADD_ROW,Insert row,Insert row,Insert row
PRICE_QUOTATION.ADD_ROW_ABOVE,Above,Above,Above
PRICE_QUOTATION.ADD_ROW_BELOW,Below,Below,Below
PRICE_QUOTATION.DEL_COLUMN,Delete column,Delete column,Delete column
PRICE_QUOTATION.ADD_COLUMN,Insert column,Insert column,Insert column
PRICE_QUOTATION.ADD_COLUMN_LEFT,Left,Left,Left
PRICE_QUOTATION.ADD_COLUMN_RIGHT,Right,Right,Right
PRICE_QUOTATION.UPGRADE_LICENSE,Upgrade to premium license to enjoy advance features such as setting price quotation per client,Upgrade to premium license to enjoy advance features such as setting price quotation per client,Upgrade to premium license to enjoy advance features such as setting price quotation per client
QUOTATION.NAME,Name,Name,Name
QUOTATION.UPDATED_DATE,Updated Date,Updated Date,Updated Date
QUOTATION.CURRENCY,Currency,Currency,Currency
QUOTATION.FROM,From,From,From
QUOTATION.TO,To,To,To
QUOTATION.ADDITIONAL_CHARGES,ADDITIONAL CHARGES / NOTES,ADDITIONAL CHARGES / NOTES,ADDITIONAL CHARGES / NOTES
QUOTATION.DOWNLOAD,Download,Download,Download
QUOTATION.TITLE,Price quotation for trucking,Price quotation for trucking,Price quotation for trucking
TRACKING.SETUP,Tracking setup,Tracking setup,Tracking setup
TRACKING.UPGRADE_REQUEST,Premium license can see realtime tracking through GPS device and Map. Standard license can see order's tracking status only.,Premium license can see realtime tracking through GPS device and Map. Standard license can see order's tracking status only.,Premium license can see realtime tracking through GPS device and Map. Standard license can see order's tracking status only.
TRACKING.DISPLAY_FROM,Display GPS device information from,Display GPS device information from,Display GPS device information from
TRACKING.DISPLAY_ON,Display GPS device - Route review information in,Display GPS device - Route review information in,Display GPS device - Route review information in
TRACKING.ON_CUSTOMER,Customer,Customer,Customer
TRACKING.ON_TRUCKOWNER,Truckowner,Truckowner,Truckowner
TRACKING.UPGRADE,Upgrade License,Upgrade License,Upgrade License
TRACKING.REQUEST_UPGRADE,Request for upgrade,Request for upgrade,Request for upgrade
TRACKING.SUB_TITLE,Thank you for using TaaS Truck. Let’s upgrade to premium license to enjoy advanced features and instant support around the clock.,Thank you for using TaaS Truck. Let’s upgrade to premium license to enjoy advanced features and instant support around the clock.,Thank you for using TaaS Truck. Let’s upgrade to premium license to enjoy advanced features and instant support around the clock.
TRACKING.UPGRADE_HEADER,Upgrade TaaS Truck license,Upgrade TaaS Truck license,Upgrade TaaS Truck license
LICENSE.THANK_YOU,Thank you for your request. We will get back to you as soon as possible on the purchase. Please contact us at hotro@tada.global if you have any other request,Thank you for your request. We will get back to you as soon as possible on the purchase. Please contact us at hotro@tada.global if you have any other request,Thank you for your request. We will get back to you as soon as possible on the purchase. Please contact us at hotro@tada.global if you have any other request
LICENSE.NOTES,Notes,Notes,Notes
